TAXON_ORDER,CATEGORY,SPECIES_CODE,PRIMARY_COM_NAME,SCI_NAME,ORDER1,FAMILY,SPECIES_GROUP,REPORT_AS
2679,issf,recgos4,Red-chested Goshawk (Bioko),Accipiter toussenelii lopezi,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,recgos1
2681,species,afrgos1,African Goshawk,Accipiter tachiro,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2681.5,issf,afrgos2,African Goshawk (Ethiopian),Accipiter tachiro unduliventer/croizati,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,afrgos1
2684,issf,afrgos3,African Goshawk (Eastern),Accipiter tachiro sparsimfasciatus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,afrgos1
2685,issf,afrgos4,African Goshawk (Pemba),Accipiter tachiro pembaensis,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,afrgos1
2686,issf,afrgos5,African Goshawk (Southern),Accipiter tachiro tachiro,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,afrgos1
2687,species,chfspa1,Chestnut-flanked Sparrowhawk,Accipiter castanilius,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2688,species,shikra1,Shikra,Accipiter badius,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2695,species,nicspa1,Nicobar Sparrowhawk,Accipiter butleri,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2698,species,levspa1,Levant Sparrowhawk,Accipiter brevipes,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2699,species,grfhaw1,Chinese Sparrowhawk,Accipiter soloensis,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2700,species,fragos2,Frances's Goshawk,Accipiter francesiae,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2705,species,sptgos1,Spot-tailed Goshawk,Accipiter trinotatus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2706,species,vargos1,Variable Goshawk,Accipiter hiogaster,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2706.2,issf,vargos2,Variable Goshawk (Lesser Sundas),Accipiter hiogaster sylvestris,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,vargos1
2706.4,issf,vargos3,Variable Goshawk (Variable),Accipiter hiogaster [hiogaster Group],Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,vargos1
2729,species,grygos1,Gray Goshawk,Accipiter novaehollandiae,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2730,species,brogos1,Brown Goshawk,Accipiter fasciatus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2730.2,slash,y01023,Variable/Brown Goshawk,Accipiter hiogaster/fasciatus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2742,species,blmgos1,Black-mantled Goshawk,Accipiter melanochlamys,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2745,species,piegos1,Pied Goshawk,Accipiter albogularis,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2751,species,necgos1,New Caledonia Goshawk,Accipiter haplochrous,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2752,species,fijgos1,Fiji Goshawk,Accipiter rufitorques,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2753,species,molgos1,Moluccan Goshawk,Accipiter henicogrammus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2754,species,slmgos1,Slaty-mantled Goshawk,Accipiter luteoschistaceus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2755,species,imispa1,Imitator Sparrowhawk,Accipiter imitator,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2756,species,gyhgos1,Gray-headed Goshawk,Accipiter poliocephalus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2757,species,nebgos1,New Britain Goshawk,Accipiter princeps,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2758,species,tinhaw1,Tiny Hawk,Accipiter superciliosus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2761,species,semhaw2,Semicollared Hawk,Accipiter collaris,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2762,species,retspa1,Red-thighed Sparrowhawk,Accipiter erythropus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2765,species,litspa1,Little Sparrowhawk,Accipiter minullus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2766,species,japspa1,Japanese Sparrowhawk,Accipiter gularis,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2770,species,smaspa1,Small Sparrowhawk,Accipiter nanus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2771,species,besra1,Besra,Accipiter virgatus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2782.5,slash,y00943,Japanese Sparrowhawk/Besra,Accipiter gularis/virgatus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2783,species,runspa1,Rufous-necked Sparrowhawk,Accipiter erythrauchen,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2786,species,colspa1,Collared Sparrowhawk,Accipiter cirrocephalus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2786.2,slash,y00841,Brown Goshawk/Collared Sparrowhawk,Accipiter fasciatus/cirrocephalus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2790,species,nebspa1,New Britain Sparrowhawk,Accipiter brachyurus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2791,species,vibspa1,Vinous-breasted Sparrowhawk,Accipiter rhodogaster,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2795,species,madspa1,Madagascar Sparrowhawk,Accipiter madagascariensis,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2796,species,ovaspa2,Ovambo Sparrowhawk,Accipiter ovampensis,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2797,species,eurspa1,Eurasian Sparrowhawk,Accipiter nisus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2797.2,slash,y00842,Levant/Eurasian Sparrowhawk,Accipiter brevipes/nisus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2804,species,rucspa2,Rufous-chested Sparrowhawk,Accipiter rufiventris,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2805,issf,rucspa3,Rufous-chested Sparrowhawk (Ethiopian),Accipiter rufiventris perspicillaris,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,rucspa2
2806,issf,rucspa4,Rufous-chested Sparrowhawk (Rufous-chested),Accipiter rufiventris rufiventris,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,rucspa2
2807,species,shshaw,Sharp-shinned Hawk,Accipiter striatus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2808,issf,shshaw1,Sharp-shinned Hawk (Caribbean),Accipiter striatus [striatus Group],Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,shshaw
2812,issf,shshaw2,Sharp-shinned Hawk (Northern),Accipiter striatus [velox Group],Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,shshaw
2812.2,issf,shshaw6,Sharp-shinned Hawk (Madrean),Accipiter striatus madrensis,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,shshaw
2816,issf,shshaw3,Sharp-shinned Hawk (White-breasted),Accipiter striatus chionogaster,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,shshaw
2819,issf,shshaw4,Sharp-shinned Hawk (Plain-breasted),Accipiter striatus ventralis,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,shshaw
2820,issf,shshaw5,Sharp-shinned Hawk (Rufous-thighed),Accipiter striatus erythronemius,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,shshaw
2821,species,coohaw,Cooper's Hawk,Accipiter cooperii,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2822,slash,y00612,Sharp-shinned/Cooper's Hawk,Accipiter striatus/cooperii,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2823,species,gunhaw1,Gundlach's Hawk,Accipiter gundlachi,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2826,species,bichaw1,Bicolored Hawk,Accipiter bicolor,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2826.1,issf,bichaw2,Bicolored Hawk (Bicolored),Accipiter bicolor bicolor/fidens,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,bichaw1
2826.4,issf,bichaw3,Bicolored Hawk (Spotted),Accipiter bicolor pileatus/guttifer,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,bichaw1
2826.7,issf,bichaw4,Bicolored Hawk (Chilean),Accipiter bicolor chilensis,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,bichaw1
2826.8,species,blagos1,Black Goshawk,Accipiter melanoleucus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2827.1,species,hengos1,Henst's Goshawk,Accipiter henstii,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2827.2,species,norgos,Northern Goshawk,Accipiter gentilis,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2827.25,issf,norgos1,Northern Goshawk (Eurasian),Accipiter gentilis [gentilis Group],Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,norgos
2829,issf,norgos2,Northern Goshawk (American),Accipiter gentilis atricapillus/laingi,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,norgos
2830.5,slash,y00666,Cooper's Hawk/Northern Goshawk,Accipiter cooperii/gentilis,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2831,species,meygos1,Meyer's Goshawk,Accipiter meyerianus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2832,spuh,accipi,Accipiter sp.,Accipiter sp.,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2833,species,chsgos1,Chestnut-shouldered Goshawk,Erythrotriorchis buergersi,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2833.3,species,redgos1,Red Goshawk,Erythrotriorchis radiatus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2833.5,species,dorgos1,Doria's Goshawk,Megatriorchis doriae,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2833.6,species,lothaw1,Long-tailed Hawk,Urotriorchis macrourus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2834,species,redkit1,Red Kite,Milvus milvus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2835,issf,redkit2,Red Kite (Red),Milvus milvus milvus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,redkit1
2854,issf,redkit3,Red Kite (Cape Verde),Milvus milvus fasciicauda,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,redkit1
2855,species,blakit1,Black Kite,Milvus migrans,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2856,issf,blkkit1,Black Kite (Black),Milvus migrans [migrans Group],Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,blakit1
2863,issf,blkkit2,Black Kite (Black-eared),Milvus migrans lineatus/formosanus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,blakit1
2866,issf,blkkit3,Black Kite (Yellow-billed),Milvus migrans aegyptius/parasitus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,blakit1
2869,slash,y00611,Red/Black Kite,Milvus milvus/migrans,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2870,species,whikit1,Whistling Kite,Haliastur sphenurus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2871,species,brakit1,Brahminy Kite,Haliastur indus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2881,species,baleag,Bald Eagle,Haliaeetus leucocephalus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2883.3,slash,y00944,Golden/Bald Eagle,Aquila chrysaetos/Haliaeetus leucocephalus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2884,species,whteag,White-tailed Eagle,Haliaeetus albicilla,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2884.5,species,pafeag1,Pallas's Fish-Eagle,Haliaeetus leucoryphus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2885,species,stseag,Steller's Sea-Eagle,Haliaeetus pelagicus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2885.5,species,wbseag1,White-bellied Sea-Eagle,Haliaeetus leucogaster,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2885.6,species,solsee1,Sanford's Sea-Eagle,Haliaeetus sanfordi,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2885.7,species,affeag1,African Fish-Eagle,Haliaeetus vocifer,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2885.8,species,mafeag1,Madagascar Fish-Eagle,Haliaeetus vociferoides,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2886,species,lefeag1,Lesser Fish-Eagle,Haliaeetus humilis,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2889,species,gyhfie1,Gray-headed Fish-Eagle,Haliaeetus ichthyaetus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2889.5,slash,y00721,Lesser/Gray-headed Fish-Eagle,Haliaeetus humilis/ichthyaetus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2889.8,spuh,haliae1,Haliaeetus sp.,Haliaeetus sp.,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2890,species,crahaw,Crane Hawk,Geranospiza caerulescens,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2891,issf,crahaw1,Crane Hawk (Blackish),Geranospiza caerulescens [nigra Group],Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,crahaw
2896,issf,crahaw2,Crane Hawk (Gray),Geranospiza caerulescens caerulescens,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,crahaw
2897,issf,crahaw3,Crane Hawk (Banded),Geranospiza caerulescens gracilis/flexipes,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,crahaw
2899,species,pluhaw,Plumbeous Hawk,Cryptoleucopteryx plumbea,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2900,species,slchaw2,Slate-colored Hawk,Buteogallus schistaceus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2901,species,comblh1,Common Black Hawk,Buteogallus anthracinus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2902,issf,cobhaw,Common Black Hawk (Common),Buteogallus anthracinus anthracinus/utilensis,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,comblh1
2905,issf,mabhaw1,Common Black Hawk (Mangrove),Buteogallus anthracinus [subtilis Group],Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,comblh1
2910,species,cubblh1,Cuban Black Hawk,Buteogallus gundlachii,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2911,species,ruchaw1,Rufous Crab Hawk,Buteogallus aequinoctialis,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2911.5,species,savhaw1,Savanna Hawk,Buteogallus meridionalis,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2912,species,whnhaw2,White-necked Hawk,Buteogallus lacernulatus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2913,species,grbhaw1,Great Black Hawk,Buteogallus urubitinga,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2915.5,slash,y00945,Common/Great Black Hawk,Buteogallus anthracinus/urubitinga,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2916,species,soleag1,Solitary Eagle,Buteogallus solitarius,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2919,species,croeag1,Chaco Eagle,Buteogallus coronatus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2919.5,spuh,buteog1,Buteogallus sp.,Buteogallus sp.,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2920,species,barhaw1,Barred Hawk,Morphnarchus princeps,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2921,species,roahaw,Roadside Hawk,Rupornis magnirostris,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2922,issf,roahaw2,Roadside Hawk (Cozumel I.),Rupornis magnirostris gracilis,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,roahaw
2923,issf,roahaw1,Roadside Hawk (Mainland),Rupornis magnirostris [magnirostris Group],Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,roahaw
2934,species,hrshaw,Harris's Hawk,Parabuteo unicinctus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2935,issf,harhaw1,Harris's Hawk (Harris's),Parabuteo unicinctus harrisi,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,hrshaw
2936,issf,harhaw2,Harris's Hawk (Bay-winged),Parabuteo unicinctus unicinctus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,hrshaw
2938,species,whrhaw1,White-rumped Hawk,Parabuteo leucorrhous,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2939,species,whthaw,White-tailed Hawk,Geranoaetus albicaudatus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2943,species,rebhaw2,Variable Hawk,Geranoaetus polyosoma,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2944,form,punhaw1,Variable Hawk (Puna),Geranoaetus polyosoma (Puna),Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,rebhaw2
2945,form,rebhaw1,Variable Hawk (Red-backed),Geranoaetus polyosoma (Red-backed),Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,rebhaw2
2946,issf,varhaw1,Variable Hawk (Variable),Geranoaetus polyosoma polyosoma,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,rebhaw2
2947,issf,varhaw2,Variable Hawk (Juan Fernandez),Geranoaetus polyosoma exsul,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,rebhaw2
2948,species,bcbeag1,Black-chested Buzzard-Eagle,Geranoaetus melanoleucus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2949.3,spuh,gerano1,Geranoaetus sp.,Geranoaetus sp.,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2949.6,species,manhaw2,Mantled Hawk,Pseudastur polionotus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2950,species,whihaw1,White Hawk,Pseudastur albicollis,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2951,issf,whihaw2,White Hawk (Snowy),Pseudastur albicollis ghiesbreghti,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,whihaw1
2952,issf,whihaw3,White Hawk (White-shouldered),Pseudastur albicollis costaricensis,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,whihaw1
2953,issf,whihaw5,White Hawk (Black-winged),Pseudastur albicollis williaminae,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,whihaw1
2954,issf,whihaw4,White Hawk (Black-tailed),Pseudastur albicollis albicollis,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,whihaw1
2955,species,gybhaw2,Gray-backed Hawk,Pseudastur occidentalis,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2956,species,semhaw,Semiplumbeous Hawk,Leucopternis semiplumbeus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2957,species,blfhaw1,Black-faced Hawk,Leucopternis melanops,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2958,species,whbhaw2,White-browed Hawk,Leucopternis kuhli,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2958.2,species,gryhaw2,Gray Hawk,Buteo plagiatus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2958.5,species,gryhaw3,Gray-lined Hawk,Buteo nitidus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2958.7,slash,gryhaw1,Gray/Gray-lined Hawk,Buteo plagiatus/nitidus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2959,species,reshaw,Red-shouldered Hawk,Buteo lineatus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2959.2,issf,reshaw5,Red-shouldered Hawk (lineatus Group),Buteo lineatus [lineatus Group],Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,reshaw
2961,issf,reshaw2,Red-shouldered Hawk (extimus),Buteo lineatus extimus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,reshaw
2964.5,issf,reshaw4,Red-shouldered Hawk (elegans),Buteo lineatus elegans,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,reshaw
2964.7,hybrid,x00787,Common Black x Red-shouldered Hawk (hybrid),Buteogallus anthracinus x Buteo lineatus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2965,species,ridhaw1,Ridgway's Hawk,Buteo ridgwayi,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2966,species,brwhaw,Broad-winged Hawk,Buteo platypterus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2967,issf,brwhaw1,Broad-winged Hawk (Northern),Buteo platypterus platypterus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,brwhaw
2968,issf,brwhaw2,Broad-winged Hawk (Caribbean),Buteo platypterus [antillarum Group],Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,brwhaw
2973.5,slash,y00773,Red-shouldered/Broad-winged Hawk,Buteo lineatus/platypterus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2977,species,hawhaw,Hawaiian Hawk,Buteo solitarius,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2980,species,shthaw,Short-tailed Hawk,Buteo brachyurus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2983,species,whthaw1,White-throated Hawk,Buteo albigula,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2984,species,swahaw,Swainson's Hawk,Buteo swainsoni,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2985,species,galhaw1,Galapagos Hawk,Buteo galapagoensis,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2986,species,zothaw,Zone-tailed Hawk,Buteo albonotatus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2987,species,ruthaw1,Rufous-tailed Hawk,Buteo ventralis,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2989,species,rethaw,Red-tailed Hawk,Buteo jamaicensis,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
2990,issf,wrthaw1,Red-tailed Hawk (calurus/alascensis),Buteo jamaicensis calurus/alascensis,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,rethaw
2992,issf,erthaw1,Red-tailed Hawk (borealis),Buteo jamaicensis borealis,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,rethaw
2993,form,rethaw4,Red-tailed Hawk (abieticola),Buteo jamaicensis abieticola,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,rethaw
2994,issf,hrthaw1,Red-tailed Hawk (Harlan's),Buteo jamaicensis harlani,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,rethaw
2995,issf,krthaw1,Red-tailed Hawk (Krider's),Buteo jamaicensis kriderii,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,rethaw
2996,issf,frthaw1,Red-tailed Hawk (fuertesi),Buteo jamaicensis fuertesi,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,rethaw
2997,issf,rethaw5,Red-tailed Hawk (kemsiesi/hadropus),Buteo jamaicensis kemsiesi/hadropus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,rethaw
2999,issf,rethaw1,Red-tailed Hawk (costaricensis),Buteo jamaicensis costaricensis,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,rethaw
3000,issf,rethaw6,Red-tailed Hawk (fumosus),Buteo jamaicensis fumosus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,rethaw
3001,issf,rethaw7,Red-tailed Hawk (socorroensis),Buteo jamaicensis socorroensis,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,rethaw
3002,issf,rethaw8,Red-tailed Hawk (umbrinus),Buteo jamaicensis umbrinus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,rethaw
3003,issf,rethaw2,Red-tailed Hawk (jamaicensis),Buteo jamaicensis jamaicensis,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,rethaw
3004,issf,rethaw3,Red-tailed Hawk (solitudinis),Buteo jamaicensis solitudinis,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,rethaw
3005,hybrid,x00686,Red-shouldered x Red-tailed Hawk (hybrid),Buteo lineatus x jamaicensis,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
3007,species,rolhaw,Rough-legged Hawk,Buteo lagopus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
3007.2,hybrid,x00788,Swainson's x Rough-legged Hawk (hybrid),Buteo swainsoni x lagopus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
3008,hybrid,x00731,Red-tailed x Rough-legged Hawk (hybrid),Buteo jamaicensis x lagopus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
3010,species,ferhaw,Ferruginous Hawk,Buteo regalis,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
3013,species,combuz1,Common Buzzard,Buteo buteo,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
3014,issf,combuz7,Common Buzzard (Western),Buteo buteo buteo,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,combuz1
3015,issf,combuz8,Common Buzzard (Corsican),Buteo buteo arrigonii,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,combuz1
3016,issf,combuz2,Common Buzzard (Azores),Buteo buteo rothschildi,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,combuz1
3017,issf,combuz3,Common Buzzard (Canary Is.),Buteo buteo insularum,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,combuz1
3018,issf,combuz5,Common Buzzard (Steppe),Buteo buteo vulpinus/menetriesi,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,combuz1
3021,species,combuz9,Himalayan Buzzard,Buteo refectus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
3021.5,slash,y00946,Common/Himalayan Buzzard,Buteo buteo/refectus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
3022,species,combuz6,Eastern Buzzard,Buteo japonicus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
3024.5,slash,y00947,Common/Himalayan/Eastern Buzzard,Buteo buteo/refectus/japonicus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,
